artist,Positive,Neutral,Negative
EdSheeran,0.232428571,0.735285714,0.032285714
BillieEilish,0.173285714,0.717571429,0.109142857
KatyPerry,0.167,0.775571429,0.057571429
Rihanna,0.163142857,0.681285714,0.155857143
NickiMinaj,0.109571429,0.726428571,0.163857143
ColdPlay,0.082285714,0.831571429,0.086285714
DuaLipa,0.146,0.764571429,0.089285714
ArianaGrande,0.219166667,0.732166667,0.048333333
CardiB,0.140142857,0.678285714,0.181857143
Beyonce,0.159857143,0.678857143,0.161142857
Khalid,0.152857143,0.725714286,0.121142857
Maroon5,0.287142857,0.647714286,0.065142857
Eminem,0.127285714,0.721857143,0.150714286
CharliePuth,0.123857143,0.790571429,0.085714286
SelenaGomez,0.182285714,0.693428571,0.124428571
JustinBieber,0.205285714,0.706857143,0.087857143
LadyGaga,0.185428571,0.696,0.118571429
BTS,0.128714286,0.794571429,0.077
PostMalone,0.136142857,0.763714286,0.100285714
Drake,0.132285714,0.764,0.103571429
TaylorSwift,0.150857143,0.766857143,0.082428571
