date,name,value
1970-01-01,Neil Young,0.5
1970-01-01,Grateful Dead,1
1970-01-01,Curtis Mayfield,1
1970-01-01,Van Morrison,3
1970-01-01,James Taylor,3
1970-01-01,Creedence Clearwater Revival,4
1970-01-01,Black Sabbath,4
1970-01-01,Santana,6
1970-01-01,Led Zeppelin,14
1970-01-01,The Beatles,21
1971-01-01,David Bowie,0.5
1971-01-01,The Doors,1
1971-01-01,Marvin Gaye,4
1971-01-01,Janis Joplin,4
1971-01-01,Rod Stewart,4
1971-01-01,Jethro Tull,7
1971-01-01,John Lennon,8
1971-01-01,The Who,10
1971-01-01,The Rolling Stones,21
1971-01-01,Carole King,25
1972-01-01,Genesis,0.5
1972-01-01,Stevie Wonder,1
1972-01-01,Steely Dan,1
1972-01-01,Rod Stewart,2
1972-01-01,Jethro Tull,3
1972-01-01,Deep Purple,3
1972-01-01,The Allman Brothers Band,3
1972-01-01,Neil Young,5
1972-01-01,David Bowie,7
1972-01-01,The Rolling Stones,12
1973-01-01,Genesis,0.5
1973-01-01,David Bowie,1
1973-01-01,Stevie Wonder,1
1973-01-01,he Allman Brothers Band,2
1973-01-01,The Rolling Stones,4
1973-01-01,The Who,4
1973-01-01,Paul McCartney & Wings,7
1973-01-01,Led Zeppelin,11
1973-01-01,Elton John,30
1973-01-01,Pink Floyd,45
1974-01-01,LaBelle,0.5
1974-01-01,Genesis,0.5
1974-01-01,10cc,0.5
1974-01-01,Bob Dylan,1
1974-01-01,Steely Dan,1
1974-01-01,The Marshall Tucker Band,1
1974-01-01,Roxy Music,1
1974-01-01,Joni Mitchell,2
1974-01-01,Eric Clapton,3
1974-01-01,Elton John,24
1975-01-01,Jefferson Starship,2
1975-01-01,Bob Dylan,2
1975-01-01,Queen,6
1975-01-01,Fleetwood Mac,7
1975-01-01,Eagles,7
1975-01-01,Elton John,7
1975-01-01,Aerosmith,8
1975-01-01,Bruce Springsteen,15
1975-01-01,Led Zeppelin,16
1975-01-01,Pink Floyd,24
1976-01-01,Blue Öyster Cult,1
1976-01-01,Boz Scaggs,2
1976-01-01,Steely Dan,2
1976-01-01,Bob Dylan,2
1976-01-01,Jimmy Buffett,3
1976-01-01,Aerosmith,4
1976-01-01,Stevie Wonder,10
1976-01-01,Boston,17
1976-01-01,Peter Frampton,18
1976-01-01,Eagles,32
1977-01-01,Stills & Nash,3
1977-01-01,Eric Clapton,3
1977-01-01,Steely Dan,3
1977-01-01,Bob Marley & The Wailers,4
1977-01-01,Kansas,4
1977-01-01,Billy Joel,10
1977-01-01,Stevie Wonder,10
1977-01-01,Eagles,32
1977-01-01,Fleetwood Mac,40
1977-01-01,Bee Gees,40
1978-01-01,Patti Smith Group,0.5
1978-01-01,Dire Straits,2
1978-01-01,Bruce Springsteen,3
1978-01-01,Journey,3
1978-01-01,The Who,3
1978-01-01,The Doobie Brothers,3
1978-01-01,The Rolling Stones,6
1978-01-01,Billy Joel,7
1978-01-01,Blondie,10
1978-01-01,Queen,26
1979-01-01,Tom Petty and the Heartbreakers,3
1979-01-01,The Police,3
1979-01-01,Mac,4
1979-01-01,Led Zeppelin,6
1979-01-01,AC/DC,7
1979-01-01,Eagles,7
1979-01-01,Donna Summer,10
1979-01-01,Supertramp,20
1979-01-01,Michael Jackson,20
1979-01-01,Pink Floyd,30
1980-01-01,David Bowie,1
1980-01-01,Talking Heads,1
1980-01-01,The Cars,1
1980-01-01,Steely Dan,2
1980-01-01,John Lennon & Yoko Ono,3
1980-01-01,Bruce Springsteen,5
1980-01-01,The Rolling Stones,6
1980-01-01,Billy Joel,7
1980-01-01,Queen,25
1980-01-01,AC/DC,50
1981-01-01,Van Halen,2
1981-01-01,The Police,3
1981-01-01,Rush,4
1981-01-01,The Rolling Stones,4
1981-01-01,AC/DC,4
1981-01-01,Phil Collins -,5
1981-01-01,AC/DC,6
1981-01-01,Foreigner,7
1981-01-01,REO Speedwagon,10
1981-01-01,Journey,12
1982-01-01,Donald Fagen,1
1982-01-01,Elton John,1
1982-01-01,Billy Joel,2
1982-01-01,Fleetwood Mac,2
1982-01-01,Huey Lewis and the News,2
1982-01-01,Van Halen,2
1982-01-01,John Cougar Mellencamp,5
1982-01-01,Men at Work,6
1982-01-01,Asia,10
1982-01-01,Michael Jackson,66
1983-01-01,Talking Heads,2
1983-01-01,Iron Maiden,2
1983-01-01,U2,5
1983-01-01,Flashdance,6
1983-01-01,Journey,6
1983-01-01,The Police,8
1983-01-01,Billy Joel,8
1983-01-01,Lionel Richie,10
1983-01-01,Def Leppard,10
1983-01-01,Michael Jackson,66
1984-01-01,U2,4
1984-01-01,Bryan Adams,5
1984-01-01,The Cars,6
1984-01-01,Van Halen,10
1984-01-01,Wham!,10
1984-01-01,Huey Lewis and the News,10
1984-01-01,Tina Turner,10
1984-01-01,Madonna,21
1984-01-01,Prince and The Revolution,22
1984-01-01,Bruce Springsteen,30
1985-01-01,Eurythmics,1
1985-01-01,David Lee Roth,2
1985-01-01,John Mellencamp,5
1985-01-01,Wham!,10
1985-01-01,Tears for Fears,10
1985-01-01,Madonna,21
1985-01-01,Phil Collins,25
1985-01-01,Whitney Houston,25
1985-01-01,Dire Straits,30
1985-01-01,Bruce Springsteen,30
1986-01-01,Europe,3
1986-01-01,Huey Lewis and the News,3
1986-01-01,Run-D.M.C,3
1986-01-01,Peter Gabriel,5
1986-01-01,Janet Jackson,5
1986-01-01,Van Halen,6
1986-01-01,Top Gun (soundtrack),9
1986-01-01,Paul Simon,16
1986-01-01,Madonna,25
1986-01-01,Bon Jovi,28
1987-01-01,Bruce Springsteen,3
