name,word,count
yeah,yeah,1387
im,im,1272
love,love,1147
got,got,1099
baby,baby,1096
know,know,1014
dont,dont,806
like,like,694
one,one,685
oh,oh,682
na,na,676
ariana,ariana,512
want,want,507
make,make,494
cause,cause,492
grande,grande,488
way,way,475
boy,boy,453
gon,gon,414
let,let,411
aint,aint,408
youre,youre,408
say,say,372
time,time,358
get,get,354
right,right,348
need,need,337
cant,cant,327
pre,pre,324
wan,wan,316
less,less,307
back,back,304
go,go,303
hey,hey,302
la,la,294
never,never,283
give,give,283
ive,ive,272
ooh,ooh,266
keep,keep,265
heart,heart,262
ill,ill,258
feel,feel,251
ya,ya,250
see,see,246
every,every,238
little,little,232
bout,bout,222
come,come,222
next,next,221
