name,word,count
jungkook,jungkook,857
yeah,yeah,768
jimin,jimin,712
oh,oh,701
love,love,667
im,im,623
la,la,622
v,v,595
na,na,585
know,know,565
rm,rm,520
like,like,497
jin,jin,470
go,go,468
girl,girl,442
dont,dont,426
suga,suga,365
jhope,jhope,345
wan,wan,333
want,want,313
say,say,311
lets,lets,304
got,got,295
let,let,283
right,right,276
ni,ni,261
one,one,260
pre,pre,257
youre,youre,252
run,run,251
jump,jump,250
hey,hey,244
day,day,236
baby,baby,219
bulletproof,bulletproof,211
come,come,202
night,night,199
ta,ta,194
make,make,194
hyung,hyung,194
back,back,187
life,life,186
time,time,186
need,need,186
cant,cant,185
light,light,184
wa,wa,176
nai,nai,171
de,de,171
te,te,169
