name,word,count
im,im,29
day,day,27
yellow,yellow,24
submarine,submarine,24
dont,dont,23
love,love,21
see,see,19
know,know,19
good,good,18
doctor,doctor,16
robert,robert,16
said,said,15
sunshine,sunshine,15
tell,tell,14
well,well,14
time,time,13
ill,ill,12
taxman,taxman,12
want,want,11
youre,youre,11
one,one,11
need,need,11
people,people,11
got,got,10
get,get,10
make,make,10
lonely,lonely,10
life,life,10
live,live,10
mind,mind,9
feel,feel,9
ive,ive,9
like,like,8
eyes,eyes,8
never,never,8
look,look,7
cant,cant,6
evrything,evrything,6
theres,theres,6
dead,dead,6
leave,leave,6
cos,cos,6
round,round,5
evry,evry,5
man,man,5
understand,understand,5
take,take,5
things,things,5
making,making,5
evrywhere,evrywhere,5
