name,word,count
dont,dont,66
love,love,44
know,know,38
long,long,36
im,im,34
see,see,31
got,got,26
much,much,25
mine,mine,25
like,like,24
time,time,24
sun,sun,24
please,please,23
want,want,20
shes,shes,20
oh,oh,19
youre,youre,19
tell,tell,17
ill,ill,15
day,day,15
chains,chains,14
cant,cant,14
never,never,14
dance,dance,14
around,around,13
really,really,13
heart,heart,13
leave,leave,13
make,make,13
comes,comes,13
cause,cause,12
think,think,12
youll,youll,12
taxman,taxman,12
take,take,11
get,get,11
come,come,11
little,little,11
roll,roll,11
theres,theres,11
ah,ah,11
na,na,10
believe,believe,10
say,say,10
ive,ive,10
go,go,10
girl,girl,10
beethoven,beethoven,10
feel,feel,10
need,need,10
