name,word,count
love,love,142
know,know,111
im,im,105
girl,girl,94
got,got,92
want,want,89
yeh,yeh,77
youre,youre,75
dont,dont,60
come,come,59
cant,cant,55
na,na,54
la,la,53
going,going,52
yes,yes,48
see,see,48
shes,shes,47
need,need,46
baby,baby,44
thats,thats,44
ill,ill,43
well,well,42
like,like,41
cry,cry,41
say,say,39
little,little,38
oh,oh,37
man,man,37
lose,lose,36
ive,ive,34
gon,gon,33
tell,tell,32
nothing,nothing,32
think,think,29
get,get,29
make,make,29
time,time,28
go,go,27
home,home,26
old,old,26
money,money,26
never,never,25
way,way,25
wont,wont,25
world,world,25
things,things,24
mind,mind,24
said,said,24
let,let,24
hey,hey,24
