name,word,count
love,love,91
im,im,73
back,back,72
say,say,65
dont,dont,62
know,know,60
get,get,58
see,see,55
never,never,46
oh,oh,45
bye,bye,45
ill,ill,42
hello,hello,40
go,go,39
day,day,38
tell,tell,36
let,let,35
girl,girl,35
together,together,33
time,time,32
home,home,31
night,night,30
one,one,29
take,take,28
life,life,28
long,long,26
good,good,26
like,like,25
got,got,25
honey,honey,24
ive,ive,24
away,away,23
look,look,23
youre,youre,23
eyes,eyes,22
need,need,22
goodbye,goodbye,22
come,come,21
lonely,lonely,21
want,want,21
hey,hey,21
yes,yes,20
well,well,20
falling,falling,20
cant,cant,19
ah,ah,19
road,road,19
mother,mother,19
way,way,18
make,make,18
