name,word,count
yellow,yellow,48
submarine,submarine,48
na,na,34
wan,wan,28
man,man,26
dont,dont,25
live,live,20
well,well,19
love,love,19
hey,hey,18
bop,bop,18
shuop,shuop,18
like,like,15
babe,babe,12
know,know,11
night,night,11
make,make,11
see,see,11
sea,sea,11
friends,friends,11
boys,boys,10
tell,tell,10
goes,goes,10
good,good,10
little,little,9
octopuss,octopuss,9
garden,garden,9
oh,oh,8
im,im,8
mind,mind,8
would,would,8
help,help,8
say,say,7
sweet,sweet,7
time,time,7
big,big,7
ill,ill,7
need,need,7
girl,girl,6
mbop,mbop,6
talk,talk,6
lover,lover,6
honey,honey,6
one,one,6
gon,gon,6
part,part,6
us,us,6
get,get,6
sleep,sleep,6
tight,tight,6
