name,word,count
im,im,1777
oh,oh,1507
love,love,1395
like,like,1380
go,go,1154
got,got,1148
dont,dont,1086
baby,baby,1027
let,let,1014
know,know,969
beyonc,beyonc,926
na,na,872
see,see,794
cause,cause,666
get,get,651
youre,youre,633
girl,girl,594
wan,wan,572
come,come,570
want,want,558
aint,aint,525
hey,hey,511
boy,boy,502
yeah,yeah,494
feel,feel,482
right,right,478
back,back,475
one,one,469
cant,cant,460
time,time,453
say,say,439
take,take,407
never,never,402
gon,gon,401
thats,thats,384
check,check,377
need,need,363
halo,halo,356
good,good,355
run,run,350
way,way,349
make,make,348
girls,girls,345
tonight,tonight,342
ya,ya,327
put,put,327
ill,ill,323
looking,looking,311
crazy,crazy,306
uh,uh,302
