name,word,count
im,im,437
dont,dont,330
like,like,298
know,know,237
eyes,eyes,226
one,one,199
na,na,197
ocean,ocean,193
cant,cant,191
love,love,174
say,say,160
youre,youre,145
make,make,143
wan,wan,140
watch,watch,135
never,never,134
got,got,116
see,see,114
want,want,107
back,back,104
could,could,103
give,give,103
go,go,98
let,let,92
ill,ill,88
would,would,86
ive,ive,85
cause,cause,84
mind,mind,83
boy,boy,83
billie,billie,82
really,really,81
way,way,78
eilish,eilish,77
pre,pre,75
think,think,73
mine,mine,73
sorry,sorry,71
feel,feel,68
time,time,68
scared,scared,67
need,need,67
call,call,65
bad,bad,63
guy,guy,60
tell,tell,60
high,high,59
gon,gon,57
lie,lie,54
em,em,54
