name,word,count
like,like,436
im,im,407
bitch,bitch,337
dont,dont,313
cardi,cardi,270
got,got,257
yeah,yeah,197
money,money,184
get,get,183
know,know,171
shit,shit,158
b,b,143
bitches,bitches,138
aint,aint,132
trick,trick,130
na,na,129
nigga,nigga,118
fuck,fuck,117
make,make,115
gon,gon,114
want,want,109
bag,bag,106
niggas,niggas,102
thats,thats,101
wan,wan,100
pussy,pussy,94
woo,woo,93
look,look,88
need,need,88
see,see,83
back,back,80
ass,ass,78
said,said,77
drip,drip,77
love,love,76
hoes,hoes,73
man,man,73
ayy,ayy,67
cant,cant,64
put,put,63
cause,cause,63
give,give,62
go,go,62
tell,tell,59
oh,oh,59
never,never,58
hit,hit,56
right,right,54
came,came,53
really,really,52
