name,word,count
dont,dont,330
im,im,282
oh,oh,280
baby,baby,256
youre,youre,195
know,know,185
yeah,yeah,172
love,love,172
na,na,168
like,like,166
got,got,157
one,one,137
charlie,charlie,130
puth,puth,121
wan,wan,119
cause,cause,114
tell,tell,111
way,way,107
pre,pre,102
right,right,101
go,go,101
run,run,96
get,get,93
cant,cant,90
ill,ill,85
want,want,82
anymore,anymore,81
make,make,80
thats,thats,76
river,river,73
theres,theres,72
ooh,ooh,69
nothing,nothing,69
take,take,67
knew,knew,66
doin,doin,66
never,never,64
youve,youve,63
say,say,63
could,could,62
give,give,61
gon,gon,61
said,said,60
round,round,59
girl,girl,59
talk,talk,57
away,away,57
left,left,57
need,need,54
da,da,54
