name,word,count
oh,oh,923
im,im,489
dont,dont,489
know,know,381
na,na,361
go,go,341
get,get,321
love,love,306
see,see,286
yeah,yeah,281
come,come,261
youre,youre,246
la,la,222
world,world,221
gon,gon,221
never,never,220
one,one,217
want,want,216
chris,chris,215
like,like,215
feel,feel,212
martin,martin,202
got,got,198
cause,cause,190
say,say,186
ill,ill,174
light,light,169
could,could,166
talk,talk,153
ever,ever,144
going,going,142
wan,wan,140
let,let,137
cant,cant,136
high,high,136
time,time,136
way,way,134
every,every,131
woo,woo,123
life,life,122
always,always,121
youll,youll,120
sky,sky,120
eyes,eyes,119
look,look,119
heart,heart,117
head,head,114
thats,thats,114
lost,lost,114
something,something,112
