name,word,count
im,im,3076
like,like,1962
know,know,1915
got,got,1720
yeah,yeah,1476
dont,dont,1425
get,get,1199
drake,drake,1076
shit,shit,913
go,go,759
love,love,721
girl,girl,705
aint,aint,701
na,na,694
cause,cause,680
man,man,674
back,back,655
thats,thats,643
one,one,637
say,say,629
never,never,629
nigga,nigga,611
time,time,603
niggas,niggas,591
right,right,586
oh,oh,564
cant,cant,559
need,need,540
tell,tell,536
wan,wan,530
see,see,517
make,make,512
take,take,490
want,want,472
money,money,468
baby,baby,454
still,still,453
let,let,437
fuck,fuck,436
way,way,428
think,think,414
youre,youre,393
ta,ta,385
even,even,369
could,could,364
gon,gon,348
em,em,332
look,look,330
done,done,328
us,us,325
