name,word,count
dont,dont,1304
im,im,883
got,got,753
know,know,629
love,love,566
like,like,545
cause,cause,500
youre,youre,493
na,na,480
one,one,454
come,come,449
get,get,442
baby,baby,425
yeah,yeah,417
let,let,364
pre,pre,343
oh,oh,340
tell,tell,334
cant,cant,328
wan,wan,322
need,need,315
want,want,307
new,new,289
ive,ive,264
aint,aint,258
could,could,250
ooh,ooh,249
go,go,246
see,see,243
way,way,231
em,em,230
mind,mind,228
give,give,223
ill,ill,221
feel,feel,216
count,count,215
say,say,210
lets,lets,204
rules,rules,203
night,night,198
back,back,184
time,time,181
tonight,tonight,177
gon,gon,173
make,make,171
bad,bad,166
keep,keep,163
ta,ta,158
wont,wont,155
ah,ah,152
