name,word,count
im,im,1328
love,love,1114
dont,dont,939
need,need,816
know,know,743
like,like,701
oh,oh,599
come,come,530
ill,ill,500
na,na,497
never,never,493
man,man,470
cause,cause,399
youre,youre,379
baby,baby,324
go,go,322
ed,ed,316
time,time,315
got,got,315
get,get,310
back,back,305
yeah,yeah,305
way,way,298
sheeran,sheeran,295
one,one,293
see,see,291
feel,feel,280
take,take,279
ive,ive,274
want,want,258
say,say,257
make,make,251
eyes,eyes,248
wan,wan,247
home,home,230
let,let,218
heart,heart,214
pre,pre,207
thats,thats,199
wont,wont,186
could,could,184
night,night,183
life,life,182
mind,mind,181
well,well,175
still,still,175
day,day,173
keep,keep,173
cant,cant,169
give,give,168
