name,word,count
im,im,4732
like,like,3064
dont,dont,2180
get,get,2093
cause,cause,1701
got,got,1684
eminem,eminem,1290
shit,shit,1277
back,back,1270
know,know,1243
fuck,fuck,1125
na,na,1119
aint,aint,1111
yeah,yeah,1078
go,go,1063
youre,youre,1032
one,one,940
see,see,875
em,em,852
say,say,819
never,never,807
thats,thats,771
gon,gon,736
bitch,bitch,722
ill,ill,712
man,man,710
cant,cant,708
time,time,658
shady,shady,639
think,think,638
make,make,629
wan,wan,596
come,come,593
fuckin,fuckin,587
oh,oh,567
take,take,552
want,want,548
yo,yo,545
little,little,534
right,right,528
even,even,526
still,still,507
way,way,492
give,give,492
said,said,487
put,put,475
ass,ass,471
love,love,469
us,us,468
feel,feel,467
