name,word,count
oh,oh,1244
yeah,yeah,1202
im,im,1175
love,love,1099
dont,dont,1044
girl,girl,977
know,know,893
like,like,842
na,na,834
baby,baby,794
got,got,686
bieber,bieber,641
go,go,627
youre,youre,615
one,one,608
never,never,578
justin,justin,572
cause,cause,570
wan,wan,546
need,need,544
let,let,519
time,time,495
want,want,463
make,make,420
tell,tell,387
say,say,386
get,get,368
right,right,366
ill,ill,353
aint,aint,343
could,could,325
take,take,318
cant,cant,313
pre,pre,309
way,way,307
hold,hold,241
heart,heart,238
see,see,226
gon,gon,225
world,world,218
would,would,216
thats,thats,215
back,back,214
mean,mean,207
give,give,204
ta,ta,202
wont,wont,202
woah,woah,201
ever,ever,201
life,life,197
