name,word,count
im,im,1069
youre,youre,923
like,like,762
dont,dont,731
oh,oh,689
na,na,594
yeah,yeah,521
got,got,515
cause,cause,492
one,one,436
know,know,412
baby,baby,373
back,back,366
love,love,361
get,get,346
pre,pre,286
make,make,274
katy,katy,264
perry,perry,259
never,never,255
boy,boy,254
gon,gon,253
tonight,tonight,251
wan,wan,237
take,take,232
cant,cant,225
see,see,219
say,say,219
away,away,217
ill,ill,213
let,let,207
girl,girl,206
really,really,196
theres,theres,190
go,go,189
could,could,186
even,even,173
nothing,nothing,173
thats,thats,168
ever,ever,168
way,way,168
look,look,167
night,night,166
heart,heart,165
want,want,165
think,think,163
keep,keep,162
life,life,162
smile,smile,161
time,time,160
