name,word,count
im,im,295
dont,dont,236
got,got,187
like,like,174
yeah,yeah,173
ill,ill,162
love,love,144
oh,oh,132
know,know,119
ooh,ooh,119
better,better,115
young,young,114
nothing,nothing,112
youre,youre,97
get,get,92
feels,feels,89
ive,ive,87
keep,keep,86
say,say,85
need,need,85
ta,ta,83
time,time,81
way,way,81
dumb,dumb,79
night,night,79
bring,bring,78
back,back,77
one,one,77
khalid,khalid,75
right,right,72
cause,cause,70
give,give,63
never,never,62
come,come,58
let,let,58
na,na,56
youve,youve,55
broke,broke,54
want,want,53
take,take,52
go,go,52
lets,lets,48
alive,alive,48
high,high,47
day,day,47
see,see,46
things,things,45
mmm,mmm,43
reason,reason,42
ride,ride,41
