name,word,count
im,im,1916
want,want,1751
love,love,1528
dont,dont,1116
baby,baby,1029
oh,oh,1019
na,na,999
way,way,676
cause,cause,595
gaga,gaga,587
wan,wan,575
know,know,550
like,like,540
youre,youre,531
got,got,528
cant,cant,524
yeah,yeah,520
bad,bad,505
ill,ill,495
could,could,475
gon,gon,459
eh,eh,433
lady,lady,432
dance,dance,428
body,body,426
pre,pre,414
born,born,397
put,put,368
la,la,367
romance,romance,322
right,right,316
stop,stop,307
girl,girl,303
tonight,tonight,297
get,get,293
heart,heart,279
hands,hands,279
edge,edge,279
make,make,273
good,good,268
lets,lets,268
wont,wont,267
take,take,267
hey,hey,260
life,life,259
one,one,259
need,need,257
say,say,256
fame,fame,254
rain,rain,251
