name,word,count
yeah,yeah,1094
im,im,755
dont,dont,738
like,like,693
know,know,686
oh,oh,670
love,love,505
na,na,448
cause,cause,360
adam,adam,328
levine,levine,328
back,back,328
need,need,323
home,home,294
never,never,291
want,want,290
say,say,266
got,got,266
get,get,262
youre,youre,259
baby,baby,253
ooh,ooh,252
way,way,251
cant,cant,249
wan,wan,249
come,come,236
girl,girl,230
time,time,225
feel,feel,210
go,go,204
gon,gon,197
make,make,193
let,let,190
little,little,178
one,one,171
take,take,167
think,think,166
wont,wont,163
ill,ill,162
pre,pre,159
away,away,159
heart,heart,157
see,see,156
around,around,152
memories,memories,147
bring,bring,143
give,give,141
night,night,140
every,every,130
ever,ever,130
