name,word,count
im,im,1948
like,like,1308
get,get,1040
got,got,929
know,know,875
nicki,nicki,813
dont,dont,802
bitch,bitch,651
aint,aint,607
minaj,minaj,590
bitches,bitches,551
yeah,yeah,540
go,go,480
cause,cause,466
money,money,457
love,love,441
na,na,437
fuck,fuck,420
see,see,419
oh,oh,417
come,come,399
em,em,397
wan,wan,365
niggas,niggas,362
back,back,356
thats,thats,330
shit,shit,329
tell,tell,325
say,say,325
want,want,324
nigga,nigga,294
still,still,293
make,make,290
let,let,287
cant,cant,281
one,one,273
look,look,266
time,time,265
never,never,258
baby,baby,251
yo,yo,246
good,good,244
could,could,237
gon,gon,234
little,little,226
girls,girls,225
bad,bad,225
girl,girl,225
man,man,224
put,put,211
