name,word,count
yeah,yeah,949
im,im,719
dont,dont,592
know,know,583
got,got,522
like,like,516
ooh,ooh,368
ayy,ayy,349
post,post,325
na,na,317
bitch,bitch,289
oh,oh,288
malone,malone,280
aint,aint,250
shit,shit,243
get,get,243
want,want,243
wan,wan,240
never,never,238
go,go,234
fuck,fuck,218
money,money,194
see,see,182
baby,baby,176
let,let,176
feel,feel,170
say,say,168
take,take,159
tell,tell,158
said,said,157
cant,cant,153
gon,gon,152
thats,thats,142
time,time,141
way,way,138
come,come,137
cause,cause,126
love,love,125
need,need,124
damn,damn,121
whats,whats,121
away,away,120
keep,keep,114
man,man,111
right,right,111
make,make,101
back,back,95
pre,pre,93
call,call,87
young,young,86
