name,word,count
im,im,1981
like,like,1743
love,love,1571
yeah,yeah,1378
baby,baby,1345
dont,dont,1281
oh,oh,1242
rihanna,rihanna,1065
know,know,1057
got,got,986
get,get,940
work,work,903
na,na,865
come,come,709
take,take,694
one,one,650
let,let,602
cant,cant,600
wan,wan,593
boy,boy,548
right,right,543
music,music,538
cause,cause,535
go,go,518
see,see,517
make,make,516
want,want,467
night,night,434
way,way,429
back,back,428
ya,ya,420
bum,bum,420
bright,bright,413
aint,aint,411
cmon,cmon,408
please,please,407
youre,youre,392
hard,hard,391
need,need,380
pre,pre,369
turn,turn,361
stop,stop,350
feel,feel,347
say,say,331
day,day,331
trigger,trigger,325
hey,hey,323
time,time,306
shine,shine,303
never,never,301
