name,word,count
love,love,659
im,im,651
like,like,453
youre,youre,445
know,know,444
go,go,375
get,get,338
dont,dont,334
yeah,yeah,327
oh,oh,306
nananana,nananana,295
good,good,290
na,na,257
baby,baby,236
cant,cant,223
back,back,218
ready,ready,209
got,got,201
pre,pre,200
wan,wan,188
selena,selena,183
come,come,180
feel,feel,177
gomez,gomez,170
want,want,168
heart,heart,163
em,em,161
let,let,150
cause,cause,148
time,time,146
make,make,144
night,night,140
right,right,136
ill,ill,135
look,look,134
old,old,133
kill,kill,131
take,take,127
wants,wants,122
breathe,breathe,120
could,could,119
every,every,119
id,id,115
song,song,111
slow,slow,105
feels,feels,102
never,never,101
sick,sick,100
ohohoh,ohohoh,98
way,way,95
