name,word,count
im,im,1144
like,like,1138
know,know,1067
dont,dont,917
oh,oh,858
never,never,739
love,love,738
youre,youre,708
na,na,632
baby,baby,609
time,time,586
back,back,578
say,say,533
cause,cause,526
see,see,526
got,got,507
one,one,505
go,go,478
think,think,464
ill,ill,395
could,could,379
want,want,365
said,said,363
come,come,359
take,take,357
cant,cant,356
would,would,336
thats,thats,328
get,get,315
right,right,312
ever,ever,311
way,way,310
look,look,306
pre,pre,305
yeah,yeah,283
around,around,280
night,night,280
wan,wan,277
id,id,274
tell,tell,274
gon,gon,267
taylor,taylor,263
ive,ive,260
let,let,260
th,th,239
eyes,eyes,237
swift,swift,233
away,away,233
make,make,231
still,still,231
