name,word,count
love,love,1319
dont,dont,1009
know,know,927
im,im,818
na,na,756
oh,oh,748
got,got,716
youre,youre,643
time,time,611
like,like,589
baby,baby,577
want,want,546
night,night,541
gon,gon,525
get,get,481
say,say,480
one,one,478
yeah,yeah,450
go,go,409
cant,cant,409
take,take,402
let,let,400
come,come,392
see,see,363
never,never,358
make,make,349
ive,ive,342
right,right,330
ill,ill,312
way,way,309
heart,heart,304
girl,girl,290
away,away,287
feel,feel,277
need,need,276
well,well,275
around,around,260
tonight,tonight,259
little,little,256
life,life,252
long,long,245
aint,aint,233
hold,hold,233
tell,tell,230
eyes,eyes,227
much,much,227
think,think,224
shes,shes,223
cause,cause,221
theres,theres,216
